Time,cX001,cX002,cX003,cX004,cX005,cX006,cX007,cX008,cX009,cX010,cX011,cX012,cX013,cX014,cX015,cX016,cX017,cX018,cX019,cX020
1280.205,0.22,,,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,,,,0.15
1280.24,0.22,,,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,,,,0.15
1280.275,0.22,,,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,,,,0.15
1280.31,0.22,,,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,,,,0.15
1280.345,0.22,,,,,,0.1,-0.13,,0.08,0.39,-0.48,,,,,,,,0.15
1280.38,0.22,,,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,,,,0.14
1280.415,0.22,,,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,,,,0.14
1280.45,0.22,,,,,,0.1,-0.13,,0.08,0.39,-0.48,,,,,,,,0.15
1280.485,0.22,,,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,0.55,,,0.15
1280.52,0.22,,,,,,0.09,-0.14,,0.08,0.39,-0.48,,,,,0.55,,,0.15
1280.555,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.54,,,0.15
1280.59,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.53,,,0.14
1280.625,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.53,,,0.14
1280.66,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.52,,,0.14
1280.695,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.51,,,0.15
1280.73,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.51,,,0.15
1280.765,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.5,,,0.15
1280.8,0.23,,-0.34,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.5,,,0.14
1280.835,0.23,,-0.34,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.5,,,0.14
1280.87,0.22,,-0.34,,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,0.5,,,0.14
1280.905,0.22,,-0.33,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.5,,,0.14
1280.94,0.22,,-0.33,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.5,,,0.14
1280.975,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.5,,,0.14
1281.01,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.5,,,0.14
1281.045,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.5,,,0.14
1281.08,0.22,,-0.33,,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,0.49,,,0.14
1281.115,0.22,,-0.34,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.45,,,0.15
1281.15,0.22,,-0.34,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.45,,,0.15
1281.185,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.43,,,0.14
1281.22,0.22,,-0.33,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.42,,,0.15
1281.255,0.22,,-0.33,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.42,,,0.15
1281.29,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.41,,,0.15
1281.325,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.4,,,0.14
1281.36,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.4,,,0.14
1281.395,0.22,,-0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.39,,,0.15
1281.43,0.22,,,,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,0.38,,,0.15
1281.465,0.22,,,,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,0.38,,,0.15
1281.5,0.22,,-0.34,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.37,,,0.15
1281.535,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.36,,,0.14
1281.57,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.36,,,0.14
1281.605,0.22,,-0.33,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.36,,,0.14
1281.64,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.34,,,0.15
1281.675,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.34,,,0.15
1281.71,0.22,,-0.34,,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,0.34,,,0.15
1281.745,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.32,,,0.15
1281.78,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.32,,,0.15
1281.815,0.22,,-0.33,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.31,,,0.15
1281.85,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.3,,,0.14
1281.885,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.3,,,0.14
1281.92,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.29,,,0.15
1281.955,0.22,,-0.34,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.28,,,0.15
1281.99,0.22,,-0.34,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.28,,,0.15
1282.025,0.22,,-0.33,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.27,,,0.15
1282.06,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.26,,,0.14
1282.095,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.26,,,0.14
1282.13,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.25,,,0.15
1282.165,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.24,,,0.15
1282.2,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.24,,,0.15
1282.235,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.24,,,0.15
1282.27,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.25,,,0.14
1282.305,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.25,,,0.15
1282.34,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.25,,,0.15
1282.375,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.26,,,0.15
1282.41,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.25,,,0.15
1282.445,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.25,,,0.15
1282.48,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.27,,,0.14
1282.515,0.22,,,,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,0.25,,,0.15
1282.55,0.22,,,,,,0.1,-0.13,,0.07,0.39,-0.48,,,,,0.25,,,0.15
1282.585,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.24,,,0.14
1282.62,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.23,,,0.14
1282.655,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.23,,,0.14
1282.69,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.22,,,0.15
1282.725,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.21,,,0.14
1282.76,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.21,,,0.14
1282.795,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.21,,,0.15
1282.83,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.2,,,0.14
1282.865,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.2,,,0.14
1282.9,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.19,,,0.15
1282.935,0.22,,,,,,0.09,-0.14,,0.06,0.39,-0.48,,,,,0.18,,,0.14
1282.97,0.22,,,,,,0.09,-0.14,,0.06,0.39,-0.48,,,,,0.18,,,0.14
1283.005,0.23,,,,,,0.1,-0.14,,0.06,0.39,-0.48,,,,,0.17,,,0.15
1283.04,0.22,,,,,,0.09,-0.13,,0.06,0.39,-0.48,,,,,0.16,,,0.14
1283.075,0.22,,,,,,0.09,-0.13,,0.06,0.39,-0.48,,,,,0.16,,,0.14
1283.11,0.22,,,,,,0.1,-0.14,,0.06,0.39,-0.48,,,,,0.16,,,0.14
1283.145,0.22,,,,,,0.09,-0.14,,0.06,0.39,-0.48,,,,,0.16,,,0.14
1283.18,0.22,,,,,,0.09,-0.14,,0.06,0.39,-0.48,,,,,0.16,,,0.14
1283.215,0.22,,,,,,0.1,-0.14,,0.05,0.39,-0.48,,,,,0.16,,,0.14
1283.25,0.22,,,,,,0.09,-0.14,,0.05,0.39,-0.48,,,,,0.16,,,0.15
1283.285,0.22,,,,,,0.09,-0.14,,0.05,0.39,-0.48,,,,,0.16,,,0.15
1283.32,0.22,,,,,,0.1,-0.14,,0.06,0.39,-0.48,,,,,0.16,,,0.15
1283.355,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.16,,,0.14
1283.39,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.16,,,0.14
1283.425,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.16,,,0.14
1283.46,0.22,,,,,,0.1,-0.14,,0.06,0.39,-0.48,,,,,0.15,,,0.14
1283.495,0.22,,,,,,0.1,-0.14,,0.06,0.39,-0.48,,,,,0.15,,,0.14
1283.53,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.15,,,0.14
1283.565,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.15,,,0.14
1283.6,0.22,,,,,,0.09,-0.13,,0.07,0.39,-0.48,,,,,0.15,,,0.14
1283.635,0.22,,,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.14,,,0.15
1283.67,0.22,,-0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.14,,,0.14
1283.705,0.22,,-0.33,,,,0.1,-0.14,,0.07,0.39,-0.48,,,,,0.14,,,0.14
1283.74,0.22,,,,,,0.1,-0.14,,0.08,0.39,-0.48,,,,,0.13,,,0.14
1283.775,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.13,,,0.14
1283.81,0.22,,,,,,0.09,-0.14,,0.07,0.39,-0.48,,,,,0.13,,,0.14
