holding,conc_nM,resp
-80.0,0,0.0
-80.0,0,0.06284658040665435
-80.0,0,0.0
-80.0,0,0.011503067484662576
-80.0,0,0.0
-80.0,0,0.011125945705384957
-80.0,0,0.0
-80.0,0,0.1517150395778364
-80.0,0,0.0
-80.0,0,0.0
-80.0,0,0.0
-80.0,0,0.0
-80.0,0,0.0
-80.0,0,0.0
-80.0,0,0.0
-80.0,0,0.0
-80.0,0,0.0
-80.0,0,0.0
-80.0,0,0.0
-80.0,0,0.1613722998729352
-80.0,1,0.46487985212569316
-80.0,1,0.09355828220858896
-80.0,1,0.22251891410769917
-80.0,1,0.6405013192612137
-80.0,1,0.3427299703264095
-80.0,1,0.0
-80.0,1,0.0
-80.0,1,0.024290253151583476
-80.0,1,0.0
-80.0,1,0.0
-80.0,10,0.7587800369685767
-80.0,10,0.3945552147239264
-80.0,10,0.5874499332443258
-80.0,10,0.7407651715039578
-80.0,10,0.6758160237388724
-80.0,10,0.3877292852624921
-80.0,10,0.06002982848620433
-80.0,10,0.1134570052270165
-80.0,10,0.4050751879699248
-80.0,10,0.41804320203303685
-80.0,100,1.0
-80.0,100,0.8957055214723927
-80.0,100,1.0
-80.0,100,0.9887862796833773
-80.0,100,1.0
-80.0,100,1.0
-80.0,100,0.9045488441461595
-80.0,100,1.0
-80.0,100,1.0
-80.0,100,1.0
-80.0,1000,1.0
-80.0,1000,1.0
-80.0,1000,1.0
-80.0,1000,1.0
-80.0,1000,1.0
-80.0,1000,1.0
-80.0,1000,1.0
-80.0,1000,1.0
-80.0,1000,1.0
-80.0,1000,1.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.029069767441860465
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.09183673469387756
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,0,0.0
-10.0,1,0.3181818181818182
-10.0,1,0.21511627906976744
-10.0,1,0.028985507246376812
-10.0,1,0.27142857142857146
-10.0,1,0.11851851851851852
-10.0,1,0.0
-10.0,1,0.0
-10.0,1,0.0
-10.0,1,0.0
-10.0,1,0.0
-10.0,10,0.8727272727272727
-10.0,10,0.21511627906976744
-10.0,10,0.10144927536231885
-10.0,10,0.41836734693877553
-10.0,10,0.48148148148148145
-10.0,10,0.3225806451612903
-10.0,10,0.03018867924528302
-10.0,10,0.06666666666666667
-10.0,10,0.18064516129032257
-10.0,10,0.050761421319796954
-10.0,100,1.0
-10.0,100,0.9476744186046512
-10.0,100,0.9710144927536232
-10.0,100,1.0
-10.0,100,1.0
-10.0,100,1.0
-10.0,100,0.8415094339622642
-10.0,100,1.0
-10.0,100,1.0
-10.0,100,0.8121827411167513
-10.0,1000,1.0
-10.0,1000,1.0
-10.0,1000,1.0
-10.0,1000,1.0
-10.0,1000,1.0
-10.0,1000,1.0
-10.0,1000,1.0
-10.0,1000,1.0
-10.0,1000,1.0
-10.0,1000,1.0
0.0,0,1000.0
0.0,0,1.0
0.0,0,0.0
0.0,0,0.0
10.0,0,10.0
