Time,cX002,cX003,cX005,cX006,cX008,cX009,cX012,cX013,cX014,cX017,cX018,cX019
1280.21,0.37,0.33,,-0.15,0.15,-0.29,-0.55,-0.04,-0.2,-0.09,0.65,-0.18
1280.245,0.37,0.33,0.5,-0.15,0.15,-0.29,-0.55,-0.03,-0.2,-0.1,0.65,-0.18
1280.28,0.37,0.33,,-0.15,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.315,0.37,0.33,,-0.15,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.35,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.385,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.42,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.455,0.37,0.33,,-0.15,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.49,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.525,0.37,0.33,,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.56,0.37,0.33,0.5,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.18
1280.595,0.36,0.33,,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.09,0.65,-0.18
1280.63,0.36,0.33,,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.09,0.65,-0.18
1280.665,0.37,0.33,0.5,-0.16,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.7,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.18
1280.735,0.37,0.33,0.49,-0.16,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.18
1280.77,0.37,0.33,,-0.15,0.15,-0.29,-0.55,-0.04,-0.19,-0.1,0.65,-0.18
1280.805,0.37,0.33,,-0.15,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
1280.84,0.37,0.33,,-0.15,0.15,-0.29,-0.55,-0.03,-0.19,-0.1,0.65,-0.18
